description,SRR11735465,SRR11735466,SRR11735467,SRR11735468,SRR11735469,SRR11735471,SRR11735472,SRR11735473,SRR11735474,SRR11735475,SRR11735476,SRR11735477,SRR11735478,SRR11735479,SRR11735480,SRR11735481,SRR11735482,SRR11735483,SRR11735484,SRR11735485,SRR11735486,SRR11735487,SRR11735488,SRR11735489,SRR11735490,SRR11735491,SRR11735492,SRR11735493,SRR11735494,SRR11735495,SRR11735496,SRR11735497,SRR11735498,SRR11735499,SRR11735500,SRR11735501,SRR11735502,SRR11735504,SRR11735505,SRR11735506,SRR5136859,SRR5136860,SRR5136861,SRR5136862,SRR5136863,SRR5136864,SRR5136865,SRR5136866,SRR5136867,SRR5136868,SRR5136869,SRR5136870,SRR5136871,SRR5136872,SRR5136873,SRR5136874,SRR5136875,SRR5136876,SRR17519993,SRR17519994,SRR17519995,SRR17519996,SRR17519997,SRR17519998,SRR17519999,SRR17520001,SRR17520002,SRR17520003,SRR17520004,SRR17520005,SRR17520006,SRR17520007,SRR17520008,SRR17520009,SRR17520010,SRR17520011,SRR17520012,SRR17520013,SRR17520014,SRR17520015,SRR17520016,SRR17520017,SRR17520018,SRR17520019,SRR17520020,SRR17520021,SRR17520022,SRR17520023,SRR17520024,SRR17520025,SRR17520026,SRR17520027,SRR17520029,SRR17520030,SRR17520031,SRR17520032,SRR17520033,SRR17520034,SRR17520035,SRR17520036,SRR17520037,SRR17520038,SRR17520039,SRR17520040,SRR17520041,SRR17520042,SRR17520043,SRR17520044,SRR17520045,SRR17520046,SRR17520047,SRR17520048,SRR17520049,SRR17520050,SRR17520051,SRR17520052,SRR17520053,SRR17520054,SRR17520055,SRR17520056,SRR17520057,SRR17520058,SRR17520059,SRR17520060,SRR17520061,SRR17520062,SRR17520063,SRR17520064,SRR17520065,SRR17520066,SRR17520067,SRR17520068,SRR10120013.fastq,SRR10120014.fastq,SRR10120015.fastq,SRR10120016.fastq,SRR10120017.fastq,SRR10120018.fastq,SRR10120019.fastq,SRR10120020.fastq,SRR10120021.fastq,SRR10120022.fastq,SRR10120023.fastq,SRR10120024.fastq,SRR10120025.fastq,SRR10120026.fastq,SRR10120027.fastq,SRR10120028.fastq,SRR10120029.fastq,SRR10120030.fastq,SRR10120031.fastq,SRR10120032.fastq,SRR10120033.fastq,SRR10120034.fastq,SRR10120035.fastq,SRR10120036.fastq,SRR10120037.fastq,SRR10120038.fastq,SRR10120039.fastq,SRR10120040.fastq,SRR10120041.fastq,SRR10120042.fastq,SRR10120043.fastq,SRR10120044.fastq,SRR10120045.fastq,SRR10120046.fastq,SRR10120047.fastq,SRR10120048.fastq,SRR10120049.fastq,SRR10120050.fastq,SRR10120051.fastq,SRR10120052.fastq,SRR10120053.fastq,SRR10120054.fastq,SRR10120055.fastq,SRR10120056.fastq,SRR10120057.fastq,SRR10120058.fastq,SRR10120059.fastq,SRR10120060.fastq,SRR10120061.fastq,SRR10120062.fastq,SRR10120063.fastq,SRR10120064.fastq,SRR10120065.fastq,SRR10120066.fastq,SRR10120067.fastq,SRR10120068.fastq,SRR10120069.fastq,SRR10120070.fastq,SRR10120071.fastq,SRR10120072.fastq,SRR10120073.fastq,SRR10120074.fastq,SRR10120075.fastq,SRR10120076.fastq,SRR10120077.fastq,SRR10120078.fastq,SRR10120079.fastq,SRR10120080.fastq,SRR10120081.fastq,SRR10120082.fastq,SRR10120083.fastq,SRR10120084.fastq,SRR10120085.fastq,SRR10120087.fastq,SRR10120088.fastq,SRR10120089.fastq,SRR10120090.fastq,SRR10120091.fastq,SRR10120092.fastq,SRR10120093.fastq,SRR10120094.fastq,SRR10120095.fastq,SRR10120096.fastq,SRR10120097.fastq,SRR10120098.fastq,SRR10120099.fastq,SRR10120100.fastq,SRR10120101.fastq,SRR10120102.fastq,SRR10120103.fastq,SRR10120104.fastq,SRR10120105.fastq,SRR10120106.fastq,SRR10120107.fastq,SRR10120108.fastq,SRR10120109.fastq,SRR10120110.fastq,SRR10120111.fastq,SRR10120112.fastq,SRR10120113.fastq,SRR10120114.fastq,SRR10120115.fastq,SRR10120116.fastq,SRR10120117.fastq,SRR10120118.fastq,SRR10120119.fastq,SRR10120120.fastq,SRR10120121.fastq,SRR10120122.fastq,SRR10120123.fastq,SRR10120124.fastq,SRR14320148,SRR14320149,SRR14320150,SRR14320151,SRR14320152,SRR14320153,SRR14320154,SRR14320155,SRR14320156,SRR14320157,SRR14320158,SRR14320159,SRR14320160,SRR14320161,SRR14320162,SRR14320163,SRR14320164,SRR14320165,SRR14320166,SRR14320167,SRR14320168,SRR14320169,SRR14320170,SRR14320171,SRR14320172,SRR14320173,SRR14320174,SRR14320175,SRR14320176,SRR14320177,SRR14320178,SRR14320179,SRR14320180,SRR14320181,SRR14320182,SRR14320183,SRR14320184,SRR14320185,SRR14320186,SRR14320187,SRR14320188,SRR14320189,SRR14320190,SRR14320191,SRR14320192,SRR14320193,SRR14320194,SRR14320195,SRR14320196,SRR14320197,SRR14320198,SRR14320199,SRR14320200,SRR14320201,SRR14320202,SRR14320203,SRR14320204,SRR14320205,SRR14320206,SRR14320207,SRR14320208,SRR14320209,SRR14320210,SRR14320211,SRR14320212,SRR14320213,SRR14320214,SRR14320215,SRR14320216,SRR14320217,SRR14320218,SRR14320219,SRR14320220,SRR14320221,SRR14320222,SRR14320223,SRR14320224,SRR14320225,SRR14320226,SRR14320227,SRR14320228,SRR14320229,SRR14320230,SRR14320231,SRR14320232,SRR14320233,SRR14320234,SRR14320235,SRR14320236,SRR14320237,SRR14320238,SRR14320239,SRR14320240,SRR14320241,SRR14320242,SRR14320243,SRR14320244,SRR14320245,SRR14320246,SRR14320247,SRR14320248,SRR14320249,SRR14320250,SRR14320251,SRR14320252,SRR14320253,SRR14320254,SRR14320255
pentose phosphate pathway,27,30,6,29,15,20,7,32,20,20,31,0,0,27,22,15,41,9,25,22,21,20,39,30,18,33,24,33,25,38,42,30,41,33,0,24,7,30,30,40,8,27,10,34,13,12,21,11,12,23,15,13,21,13,11,7,22,8,12,21,11,14,12,7,3,11,15,9,15,17,13,13,13,11,12,9,20,16,13,21,8,18,17,9,14,26,18,5,16,12,6,10,12,20,16,8,14,6,5,7,11,17,10,16,11,9,14,11,12,15,16,20,21,16,10,15,7,12,14,13,11,6,11,22,9,20,15,22,17,17,8,20,2,8,2,6,40,2,26,6,5,3,32,16,10,11,10,16,11,7,21,5,12,5,4,9,11,14,12,13,1,15,10,14,2,8,8,9,1,15,17,28,4,6,10,8,19,34,19,19,16,6,32,6,12,9,4,9,7,31,15,19,7,6,17,25,7,10,3,20,18,6,28,2,5,9,7,18,10,21,4,22,24,13,14,8,6,9,7,16,13,8,15,0,8,4,5,15,25,19,8,17,18,18,18,16,14,10,15,20,5,10,2,15,25,6,25,10,12,13,12,12,23,15,11,21,11,21,27,16,14,15,21,10,7,8,12,14,9,12,15,9,15,8,5,13,7,11,11,19,14,21,17,14,17,9,17,23,13,17,13,5,13,6,15,13,12,9,15,11,24,13,8,14,14,18,16,14,13,13,11,17,20,24,9,11,6,13,8,13,13,38,6,16,9,21,13,6,13,7,16,3,8,11,5,11,12,20,16,17,9,7,10,16,10,10,15,18,14,14,18
pentose phosphate pathway (non-oxidative branch),46,52,34,33,36,41,34,45,47,46,51,85,40,55,45,52,45,45,39,41,25,34,53,48,28,42,40,47,45,51,44,46,32,27,45,43,35,34,39,46,45,41,52,49,56,52,45,58,37,62,46,57,47,53,45,55,37,54,60,44,42,60,42,49,40,36,43,43,41,39,41,38,64,49,62,58,47,49,45,39,58,64,41,42,53,23,28,46,51,37,28,56,44,40,43,45,53,58,56,61,41,34,46,31,35,31,46,41,33,45,51,39,36,56,44,48,44,48,35,33,57,42,44,49,54,43,57,49,31,43,51,50,57,51,53,58,43,54,37,57,57,68,49,52,43,34,42,42,58,34,40,47,60,52,42,61,57,51,42,35,72,43,52,60,77,47,63,63,67,35,40,55,71,45,35,51,58,42,54,49,43,50,50,37,53,41,62,54,46,72,65,53,42,58,49,40,46,48,63,56,53,48,38,68,55,41,61,40,41,64,40,28,49,40,43,42,35,59,56,38,54,47,46,52,40,58,48,51,50,35,47,36,45,54,50,65,81,45,53,34,43,61,60,37,46,30,44,41,47,41,41,51,46,41,52,51,51,48,51,36,42,39,45,45,44,54,52,50,46,52,54,54,42,39,40,40,50,46,51,42,53,43,48,35,27,38,43,51,50,35,51,51,37,37,42,51,44,39,40,47,51,49,44,37,50,53,42,56,34,45,53,59,30,42,50,40,48,66,62,47,48,62,40,38,40,40,48,50,42,47,30,49,44,40,58,60,50,42,35,30,46,41,52,42,74,59,48,50,37,52,42
peptidoglycan biosynthesis I (meso-diaminopimelate containing),28,33,33,36,26,25,35,20,20,32,22,54,54,25,41,36,30,36,26,29,29,27,26,22,18,25,28,31,20,25,28,32,37,26,42,51,31,32,46,24,18,29,39,25,25,26,35,28,23,34,29,33,33,29,19,42,21,36,37,31,30,40,26,34,31,36,29,24,37,28,24,36,37,25,32,27,28,37,31,34,29,24,38,33,34,26,20,32,20,40,23,23,26,37,30,41,39,31,26,27,35,24,24,30,33,31,29,33,25,38,30,26,28,36,34,29,29,26,28,17,28,37,41,25,29,23,51,19,24,27,22,41,30,32,42,30,39,35,42,35,35,30,35,32,38,27,34,36,33,24,44,38,33,33,37,37,32,30,37,49,42,38,35,30,33,40,37,45,41,30,33,38,39,41,27,30,32,29,31,31,27,36,32,42,40,26,43,43,31,43,41,49,41,28,35,22,34,34,32,28,39,23,36,35,31,31,38,23,39,42,37,29,45,39,34,42,22,34,45,41,45,39,29,38,35,35,31,21,38,39,24,38,28,34,30,36,59,32,42,49,40,39,38,26,34,30,27,26,29,30,38,35,23,40,33,19,33,30,34,25,19,28,20,36,30,39,34,32,24,27,23,34,32,23,34,24,26,13,40,28,33,29,25,33,27,34,39,31,31,19,27,35,21,31,28,31,35,30,28,34,28,26,20,29,20,31,26,35,24,35,40,23,28,25,34,35,34,23,29,34,33,45,31,32,27,27,26,35,25,34,23,47,20,22,30,32,34,20,26,30,22,33,34,29,33,31,25,22,31,24,21
peptidoglycan biosynthesis II (staphylococci),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,8,0,14,8,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,3,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0
peptidoglycan biosynthesis III (mycobacteria),24,30,31,38,23,42,23,26,22,24,25,49,46,27,48,43,32,31,39,31,31,22,26,14,18,28,25,22,29,21,37,28,42,23,44,27,44,35,42,31,27,19,29,23,25,25,30,29,22,22,19,25,30,34,23,31,31,32,38,23,31,26,26,28,31,38,31,33,28,28,27,39,35,30,31,36,40,23,25,29,23,36,30,34,40,31,34,35,35,27,33,26,40,28,22,34,32,38,33,22,27,23,21,28,31,35,29,24,28,33,26,24,19,30,39,41,31,35,36,27,26,29,31,20,28,16,40,30,20,24,32,31,32,38,41,32,33,40,43,32,43,28,25,29,28,37,32,27,28,30,32,25,38,32,31,25,38,34,23,31,33,46,28,41,35,29,28,33,34,33,23,33,44,34,26,38,27,33,37,33,44,51,36,22,34,37,37,38,30,30,34,35,47,49,34,31,21,36,42,29,40,29,25,45,31,33,34,22,45,41,35,34,25,32,23,34,32,35,32,32,37,39,27,37,30,36,29,38,40,29,32,29,35,25,38,43,56,36,41,32,33,45,36,31,24,26,31,28,22,32,34,37,27,32,37,22,34,44,29,24,22,25,34,42,23,33,38,27,33,25,27,41,22,25,28,25,28,21,32,27,30,26,31,26,18,38,24,46,39,30,28,31,24,36,30,32,27,27,30,17,27,29,24,39,32,25,22,27,16,26,33,30,25,22,29,32,24,27,27,39,30,53,24,31,35,24,27,36,26,33,30,28,38,28,40,34,34,23,31,32,26,40,31,23,41,26,30,35,35,32,24
peptidoglycan biosynthesis IV (Enterococcus faecium),0,0,3,0,14,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,7,31,6,2,5,0,3,7,11,11,9,23,16,0,13,5,27,13,18,13,17,0,13,15,13,14,20,10,13,10,16,21,13,5,19,17,10,17,13,8,20,14,23,16,14,0,22,14,8,4,17,20,25,12,9,12,20,13,28,0,14,23,2,18,11,11,20,13,14,24,9,6,10,15,13,17,14,12,14,25,24,1,18,14,5,25,19,7,0,19,29,17,9,10,20,22,30,14,10,3,10,12,30,21,9,20,9,23,16,17,10,13,11,17,11,10,15,8,6,26,28,16,33,8,29,13,28,8,14,6,10,13,16,14,11,25,13,12,13,20,13,33,14,21,18,22,9,25,28,16,16,31,18,21,23,13,19,17,7,28,20,31,29,8,14,13,9,21,15,28,8,4,16,8,10,12,11,19,13,17,21,16,17,14,30,7,29,23,12,23,31,24,18,17,20,71,9,11,46,35,24,27,6,10,15,14,18,17,9,16,21,7,6,19,0,9,17,8,3,12,14,24,0,15,3,5,8,31,18,26,16,21,10,15,13,4,5,12,6,14,3,9,20,6,1,2,5,13,12,19,21,21,3,2,14,5,9,10,9,8,9,22,12,16,11,3,5,11,18,22,8,12,17,21,14,22,0,7,15,18,56,24,13,6,21,14,23,18,28,6,5,15,9,1,18,13,12,9,27,3,12,22,26,6,28,7,7,17,19,11
peptidoglycan biosynthesis V (&beta;-lactam resistance),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,9,0,0,0,3,0,0,0,2,1,0,0,7,0,0,2,2,0,0,0,1,0,0,0,1,0,11,0,0,0,0,2,0,6,16,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,6,0,3,2,0,2,0,0,1,0,0,0,0,3,0,2,0,0,1,1,1,0,4,0,3,2,4,5,0,0,0,5,0,0,0,1,0,11,0,7,1,0,0,3,0,1,12,2,0,0,0,0,10,0,0,0,1,0,0,4,0,0,1,0,5,1,0,1,2,0,6,1,9,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,5,0,0,0,1,9,0,4,37,0,4,1,2,0,3,3,0,8,4,0,1,1,1,0,0,5,4,0,0,0,1,11,0,0,1,0,0,0,2,0,9,4,6,0,1,2,4,5,1,7,0,2,2,0,0,0,1,5,3,6,0,0,2,0,3,3,0,0,3,1,0,3,0,10,1,1,1,0,1,13,2,0,9,0,2,0,0,0,0,0,9,0,8,0,0,1,1,5,1,5,0,6,7,0,0,2,0,0,0,1,2,3,2,1,2,4,9,0,0,0
phosphatidylglycerol biosynthesis I (plastidic),21,12,31,0,21,20,26,0,14,32,17,65,49,18,20,51,2,24,25,19,23,25,24,12,34,0,14,18,14,6,67,11,6,26,47,22,32,5,26,5,35,22,44,18,17,25,28,30,23,28,27,39,37,26,17,26,23,51,40,49,37,28,28,30,25,36,33,29,23,24,19,36,37,35,30,32,27,19,25,30,20,37,36,29,45,22,21,34,30,28,31,36,33,36,30,40,20,36,27,33,34,30,30,25,23,30,30,24,42,44,30,27,26,28,42,32,38,32,26,33,34,40,29,26,37,25,38,28,29,32,32,30,57,55,27,30,37,51,37,42,45,48,29,26,42,27,47,37,41,44,27,36,33,31,44,40,41,42,38,25,40,37,29,45,31,34,36,48,39,27,33,33,47,44,40,33,33,15,35,42,56,32,27,27,39,38,34,32,41,40,26,20,27,32,28,27,44,34,40,30,36,35,36,39,38,34,52,22,40,38,48,32,40,42,42,37,40,27,39,30,34,28,31,46,57,42,32,28,33,37,29,46,40,35,22,38,71,36,40,40,44,44,43,35,17,36,27,29,28,30,28,22,17,30,36,23,41,36,28,29,25,37,36,31,38,37,35,39,32,35,30,30,38,32,40,21,26,25,38,29,37,29,18,39,26,39,32,25,43,27,25,47,26,34,32,35,31,32,24,37,20,20,37,31,30,22,33,29,23,29,30,34,31,17,43,36,33,37,24,21,42,45,43,32,41,28,40,41,30,45,29,27,38,27,27,39,41,31,32,28,38,30,41,27,25,34,22,32,30,30,31
phosphatidylglycerol biosynthesis II (non-plastidic),25,14,30,0,32,11,29,1,18,13,11,54,40,11,22,58,4,23,27,14,30,15,16,22,33,5,24,15,15,8,41,16,11,26,48,15,38,15,17,3,31,17,37,20,36,15,44,25,28,31,29,36,32,23,24,32,15,42,56,40,36,27,26,37,43,46,31,29,23,41,28,34,35,33,35,27,32,27,41,30,43,43,44,29,44,36,18,31,36,36,32,40,35,35,36,35,35,36,35,27,14,23,33,26,19,28,27,45,23,34,39,37,18,40,42,17,35,24,27,26,28,44,27,26,29,25,34,38,38,34,32,25,39,57,36,39,33,29,40,46,49,41,41,28,39,27,51,22,33,36,41,50,37,36,46,38,39,50,35,35,41,43,28,40,26,38,47,49,48,30,36,35,49,39,29,34,46,21,34,34,34,31,40,33,47,50,37,51,52,38,33,43,33,40,28,31,35,27,30,34,32,50,39,53,39,31,44,30,32,41,38,27,31,30,26,36,29,47,39,33,42,37,32,35,33,35,36,34,49,36,33,26,36,39,33,57,52,41,32,60,38,41,34,39,22,32,25,47,36,34,33,31,27,28,32,22,33,32,27,36,33,33,35,42,40,42,34,33,31,35,27,26,23,24,33,33,25,37,34,23,22,15,34,29,24,33,21,28,27,32,26,29,27,35,19,41,38,29,24,17,40,38,22,20,20,23,31,24,20,31,38,26,24,24,31,46,30,46,27,38,36,56,23,33,22,21,28,36,36,35,30,30,31,30,29,37,38,32,30,34,44,36,35,31,25,32,25,30,28,33,23
phosphopantothenate biosynthesis I,25,40,26,45,19,29,21,52,22,28,29,0,47,25,15,53,32,25,23,37,20,34,36,27,36,45,31,29,25,40,47,28,37,27,16,41,28,33,38,29,19,25,19,22,13,28,34,20,25,9,16,24,22,20,22,27,30,15,12,24,15,15,24,27,17,17,18,30,29,23,25,22,27,14,28,20,28,38,29,23,23,22,26,20,23,20,29,23,29,21,18,20,12,12,17,18,15,26,18,16,21,13,23,41,22,14,19,19,16,24,31,19,14,21,34,24,22,28,33,16,19,21,26,23,29,18,22,16,22,22,21,21,24,29,30,28,6,30,23,30,28,29,20,18,21,15,23,22,25,28,15,32,27,21,18,38,29,25,21,22,27,23,31,13,19,15,19,39,35,25,24,16,38,28,21,28,38,14,22,23,25,35,15,19,23,26,23,19,28,13,30,16,30,30,21,25,21,33,30,24,18,28,11,35,29,26,38,16,22,19,24,20,33,25,16,35,27,27,29,22,34,21,25,25,29,24,32,22,16,18,8,24,11,23,16,23,2,23,24,4,34,28,19,28,10,23,28,23,29,27,22,23,13,27,18,20,21,13,36,18,24,17,14,21,26,15,25,20,19,17,23,10,24,26,19,22,14,14,25,26,20,26,17,17,23,13,18,24,27,18,4,16,27,36,15,20,33,29,28,21,17,17,29,26,21,26,33,18,17,9,16,22,27,14,18,25,19,26,32,22,22,4,17,25,24,23,29,25,19,13,26,22,18,27,23,26,24,10,17,22,24,22,24,18,34,19,20,23,20,21,19
photorespiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polyisoprenoid biosynthesis (E. coli),29,34,29,43,25,35,27,38,21,17,25,1,42,35,30,23,32,26,33,23,17,29,31,19,23,24,26,36,26,28,38,22,32,34,27,31,36,36,31,25,9,20,6,11,15,17,27,16,11,12,22,12,16,11,13,5,21,12,14,22,16,18,16,19,21,14,17,25,15,17,23,12,6,21,13,15,24,19,25,29,13,16,18,13,9,19,26,13,20,12,18,11,10,22,20,22,19,11,15,12,19,16,24,35,23,33,16,12,16,11,28,24,28,8,13,22,10,7,13,17,12,14,21,16,19,14,26,17,20,22,21,17,3,6,6,9,18,1,17,11,9,5,1,17,11,22,7,7,7,24,8,15,2,12,16,8,19,9,24,12,16,18,14,1,20,3,17,6,4,8,13,2,4,11,10,4,17,23,1,7,2,8,23,6,8,11,9,18,11,27,2,23,9,7,8,14,16,16,8,24,5,11,7,2,14,13,9,20,15,21,1,13,2,14,19,16,26,0,5,16,5,12,5,11,2,11,19,23,0,3,10,11,0,9,1,5,59,18,18,42,2,0,8,10,24,8,17,6,13,19,12,6,17,20,5,10,19,16,18,23,14,17,16,1,14,11,1,11,13,10,28,18,16,15,4,14,16,16,6,10,9,30,14,27,19,8,21,3,9,17,10,4,18,12,14,5,4,14,15,13,29,14,11,21,16,24,26,7,25,15,16,25,14,11,12,11,12,14,18,11,14,41,12,4,15,13,5,2,24,0,13,12,7,7,3,6,14,22,12,14,7,6,11,9,6,8,20,11,20,22,18
ppGpp biosynthesis,0,0,4,0,17,3,11,0,13,1,11,3,0,0,0,0,1,0,0,0,2,11,11,5,23,1,13,0,3,1,0,0,0,5,0,0,1,0,0,3,0,1,0,0,4,0,1,1,4,0,2,0,0,9,16,0,0,0,0,0,6,1,3,0,0,0,7,0,2,5,2,1,0,3,0,1,0,1,0,2,0,0,0,0,1,11,2,0,1,6,8,0,0,0,9,0,1,0,1,5,1,13,3,0,8,10,4,3,9,0,1,13,7,2,0,1,0,3,3,12,2,0,0,5,5,20,0,1,6,20,2,0,0,4,0,0,1,0,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,5,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,2,6,2,9,1,1,1,0,21,0,0,0,17,10,0,0,0,0,1,0,2,1,2,2,4,0,4,0,0,10,3,0,0,0,5,0,0,6,0,1,0,0,4,0,1,0,0,2,2,3,1,0,3,0,1,0,0,6,1,0,0,5,3,0,1,11,2,0,0,0,0,2,0,1,1,0,0,0,3,0,1,0,0,25,1,0,3,0,3,0,0,6,5,0,0,0,1,0,0,7,2,1,0,2
preQ0 biosynthesis,31,41,16,41,21,24,18,33,22,27,20,0,44,21,21,12,24,22,19,33,12,23,26,22,27,28,19,31,35,25,36,19,40,26,33,17,27,16,32,38,13,15,14,11,26,21,28,13,11,9,17,7,27,19,10,25,33,13,20,12,11,20,16,16,10,17,27,18,18,22,18,13,14,26,19,16,14,22,18,21,12,8,7,10,11,14,16,19,19,12,31,13,14,6,20,14,25,13,16,7,27,18,15,22,14,9,11,16,20,18,18,17,20,14,15,16,16,11,16,14,15,8,19,12,15,23,6,13,3,18,17,22,7,5,1,6,2,11,15,24,7,18,10,8,13,8,16,14,9,20,8,7,21,8,18,11,10,17,23,17,12,12,14,7,9,6,12,9,5,9,13,4,4,24,9,13,10,12,15,6,12,18,20,11,12,16,18,12,9,4,8,3,9,16,4,12,11,17,4,15,12,13,16,8,12,21,6,11,16,15,13,8,13,22,21,10,16,3,13,7,18,16,7,19,6,17,12,7,8,3,1,12,6,15,10,13,0,13,3,2,13,11,13,8,25,14,7,21,12,10,15,16,15,12,15,14,13,22,15,9,11,22,4,8,18,13,11,7,10,9,34,10,18,12,10,11,14,13,15,15,23,10,12,15,17,17,6,15,12,17,6,7,13,5,11,17,6,12,19,12,23,9,15,8,24,17,13,7,28,17,10,19,10,13,14,10,11,9,4,10,14,2,17,10,11,12,4,18,17,12,12,5,11,9,14,14,11,16,12,11,18,7,9,13,16,9,12,8,14,14,16
protocatechuate degradation II (ortho-cleavage pathway),0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
